carousel_id,slide_number,layout_type,background_color,title,body_text,subtitle,quote,font_color,accent_color
pinned_01_ai_sandwich,1,bold_callout,#000000,,"As soon as something becomes automated,<br /><br />it also becomes artisanal.",,,#FFFFFF,#B8312F
pinned_01_ai_sandwich,2,minimalist_focus,#FFFFFF,The Paradox,"AI makes creation faster.<br /><br />But speed without intention creates noise, not art.",,,#000000,#B8312F
pinned_01_ai_sandwich,3,header_body,#000000,Most People Do This,Input (AI) → Middle (human) → Output (AI)<br /><br />AI generates. Human edits. AI publishes.<br /><br />Fast. Efficient. Soulless.,,,#FFFFFF,#B8312F
pinned_01_ai_sandwich,4,header_body,#FFFFFF,We Do This,Input (human) → Middle (AI) → Output (human)<br /><br />You think. AI executes. You refine.<br /><br />Fast. Efficient. Yours.,,,#000000,#B8312F
pinned_01_ai_sandwich,5,stat_showcase,#000000,The AI Sandwich,Your intelligence on both ends.<br />AI in the middle.<br /><br />This is how artisanal work survives automation.,,,#FFFFFF,#B8312F
pinned_01_ai_sandwich,6,list_layout,#FFFFFF,What This Means,You decide what to create<br />AI handles the execution<br />You add the final touch<br />Your voice remains intact,,,#000000,#B8312F
pinned_01_ai_sandwich,7,minimalist_focus,#000000,Automation Without Loss,"When you sandwich AI between your intelligence,<br /><br />automation amplifies artisanship.",,,#FFFFFF,#B8312F
pinned_01_ai_sandwich,8,bold_callout,#FFFFFF,,This is the middle ground.<br /><br />Fast and artisanal.,,,#000000,#B8312F
pinned_02_building_bridge,1,bold_callout,#000000,,Most people try to jump over the water.<br /><br />We build a bridge.,,,#FFFFFF,#B8312F
pinned_02_building_bridge,2,minimalist_focus,#FFFFFF,The Jump,Product → Sale<br /><br />No connection. No trust. Just hope someone buys.,,,#000000,#B8312F
pinned_02_building_bridge,3,header_body,#000000,The Bridge,Product → Marketing → Sale<br /><br />Marketing isn't a tactic.<br />It's the infrastructure between what you make and who needs it.,,,#FFFFFF,#B8312F
pinned_02_building_bridge,4,stat_showcase,#FFFFFF,Why We Need Efficiency,We cherish artisanal work.<br />But we must be efficient to compete.<br /><br />The bridge must be beautiful AND functional.,,,#000000,#B8312F
pinned_02_building_bridge,5,list_layout,#000000,Learn the Tools True to You,Not every tool fits your process<br />Not every tactic fits your voice<br />Learn what works for YOU<br />Then you get to compete,,,#FFFFFF,#B8312F
pinned_02_building_bridge,6,minimalist_focus,#FFFFFF,We Teach Both,The tools: how to use them effectively.<br />The fundamentals: why they work.<br /><br />Because understanding beats copying.,,,#000000,#B8312F
pinned_02_building_bridge,7,header_body,#000000,Who This Is For,"You have some experience but feel overwhelmed.<br />You see marketing as a chore, not a fundamental.<br /><br />We're here to change that.",,,#FFFFFF,#B8312F
pinned_02_building_bridge,8,bold_callout,#FFFFFF,,Stop jumping.<br /><br />Build the bridge.,,,#000000,#B8312F
pinned_03_creative_struggle,1,bold_callout,#000000,,AI doesn't make creativity easy.<br /><br />It just changes where you bash your head against the wall.,,,#FFFFFF,#B8312F
pinned_03_creative_struggle,2,minimalist_focus,#FFFFFF,The Foundation,Anything creative requires struggle.<br /><br />That hasn't changed.<br />That will never change.,,,#000000,#B8312F
pinned_03_creative_struggle,3,header_body,#000000,What AI Changes,"Before: Struggle with execution.<br />Hours formatting, editing, producing.<br /><br />Now: Struggle with strategy.<br />What to create. Why it matters. How it connects.",,,#FFFFFF,#B8312F
pinned_03_creative_struggle,4,stat_showcase,#FFFFFF,The Hard Work Remains,AI automates execution.<br />But it can't automate thinking.<br /><br />The creative struggle just moves upstream.,,,#000000,#B8312F
pinned_03_creative_struggle,5,list_layout,#000000,Where You Still Struggle,Deciding what to say<br />Finding your unique angle<br />Refining until it's right<br />Making it unmistakably yours,,,#FFFFFF,#B8312F
pinned_03_creative_struggle,6,minimalist_focus,#FFFFFF,This Is Good,The struggle is where the value lives.<br /><br />AI removes the tedious work so you can focus on the work that matters.,,,#000000,#B8312F
pinned_03_creative_struggle,7,header_body,#000000,The Truth,"If you're not struggling, you're not creating.<br /><br />AI just lets you struggle with the right things.",,,#FFFFFF,#B8312F
pinned_03_creative_struggle,8,bold_callout,#FFFFFF,,Embrace the struggle.<br /><br />Just make sure it's the creative kind.,,,#000000,#B8312F
